City,Operator Name
West Seneca,CENTER_ROAD_BAPTIST_CHURCH
Utica,CENTRAL_N_Y_WHEELCHAIR_TRANSP_INC.
Jackson Heights,CENTRAL_VAN_SERVICE
Forist Hills,CENTURY_AMBULANCE_SERVICE_INC.
Surprise,CHALET_SERVICES
Plattsburgh,CHAMPLAIN_VALLEY_EDUCATIONAL_SERVS.
Buffalo,CHARTER_SCHOOL_FOR_APPLIED_TECHOLOG
Chateaugay,CHATEAUGAY_CS
East Islip,CHATTERBOX_DAY_SCHOOL
Freeport,CHECKER_TRANSPORTATION_CORP.
Yonkers,CHEERFUL_TRANSPORTATION_SERVICE_INC
Corona,"CHELSEA_EXPRESS_TRANSPORTATION,_INC"
Binghamton,CHENANGO_VALLEY_CENTRAL_SCHOOL
